,house_name,total_price,unit_price,unit_price_desc,type,location1,area,total_price_min,total_price_max,area_min,area_max
0,赞成星谷,总价100-188(万/套),25000.0, 元/㎡(均价),商业类,拱墅,建面 42-64㎡,100.0,188.0,42.0,64.0
1,同协金座,总价157-210(万/套),33000.0, 元/㎡(均价),商业类,上城,建面 45-73㎡,157.0,210.0,45.0,73.0
2,蓝城久宸里,总价1850-3600(万/套),80000.0, 元/㎡(均价),商业类,上城,建面 255-515㎡,1850.0,3600.0,255.0,515.0
3,云悦湾,总价170-243(万/套),40000.0, 元/㎡(均价),商业类,上城,建面 41-58㎡,170.0,243.0,41.0,58.0
4,世茂西溪宸悦,总价152-588(万/套),42000.0, 元/㎡(均价),商业类,西湖,建面 38-168㎡,152.0,588.0,38.0,168.0
5,天目观山月,总价63-90(万/套),12800.0, 元/㎡(均价),住宅,临安,建面 44-76㎡,63.0,90.0,44.0,76.0
6,大华春山明月,总价766-1020(万/套),43000.0, 元/㎡(均价),别墅,临安,建面 139-218㎡,766.0,1020.0,139.0,218.0
7,万科玖望,总价194(万/套),20600.0, 元/㎡(均价),住宅,富阳,建面 98㎡,194.0,194.0,98.0,98.0
8,凤起潮鸣,,,,别墅,拱墅,,,,,
9,开元名城,总价126-223(万/套),23000.0, 元/㎡(均价),商业类,萧山,建面 55-97㎡,126.0,223.0,55.0,97.0
10,世茂智慧之门,,27000.0, 元/㎡(均价),写字楼,滨江,,,,,
11,中铁建国际公馆,总价140-180(万/套),37000.0, 元/㎡(均价),商业类,拱墅,建面 37-49㎡,140.0,180.0,37.0,49.0
12,复地壹中心,总价150-270(万/套),25000.0, 元/㎡(均价),商业类,拱墅,建面 62-110㎡,150.0,270.0,62.0,110.0
13,宋都阳光国际,总价1108-1800(万/套),48000.0, 元/㎡(均价),住宅,上城,建面 272-452㎡,1108.0,1800.0,272.0,452.0
14,中港西湖院子,880-1300,, (万/套)(总价),别墅,余杭,建面 150-180㎡,880.0,1300.0,150.0,180.0
15,新湖香格里拉,总价2368(万/套),75000.0, 元/㎡(均价),别墅,余杭,建面 160-268㎡,2368.0,2368.0,160.0,268.0
16,杭州大悦城,总价319(万/套),40000.0, 元/㎡(均价),商业,拱墅,,319.0,319.0,,
17,金骏大厦,总价100(万/套),26000.0, 元/㎡(均价),写字楼,上城,,100.0,100.0,,
18,九龙仓雍景山,总价267-420(万/套),24600.0, 元/㎡(均价),别墅,富阳,建面 116-181㎡,267.0,420.0,116.0,181.0
19,浅山,总价98-193(万/套),14500.0, 元/㎡(均价),住宅,淳安,建面 70-138㎡,98.0,193.0,70.0,138.0
20,滨湖天地,总价238-557(万/套),22000.0, 元/㎡(均价),住宅,临安,建面 89-253㎡,238.0,557.0,89.0,253.0
21,万通中心,总价497(万/套),23000.0, 元/㎡(均价),写字楼,拱墅,,497.0,497.0,,
22,诺德财富中心,总价1198(万/套),27000.0, 元/㎡(均价),写字楼,萧山,,1198.0,1198.0,,
23,钱江浙商创投中心,总价320(万/套),30000.0, 元/㎡(均价),写字楼,西湖,,320.0,320.0,,
24,佳源未来府,总价600(万/套),30000.0, 元/㎡(均价),商业,余杭,,600.0,600.0,,
25,钱塘ONE,总价110-520(万/套),40000.0, 元/㎡(均价),商业类,西湖,建面 28-128㎡,110.0,520.0,28.0,128.0
26,众安恒隆广场,总价228(万/套),19000.0, 元/㎡(均价),写字楼,萧山,,228.0,228.0,,
27,宋都时间名座,总价80-120(万/套),20000.0, 元/㎡(均价),商业类,临平区,建面 39-61㎡,80.0,120.0,39.0,61.0
28,鼎和金座,总价90-100(万/套),21000.0, 元/㎡(均价),商业类,临平区,建面 45㎡,90.0,100.0,45.0,45.0
29,悦青蓝,200-270,, (万/套)(总价),住宅,余杭,建面 87-135㎡,200.0,270.0,87.0,135.0
30,公元帝景,总价513-966(万/套),25000.0, 元/㎡(均价),别墅,萧山,建面 285-483㎡,513.0,966.0,285.0,483.0
31,东海闲湖城,总价700(万/套),30000.0, 元/㎡(均价),别墅,余杭,建面 200-247㎡,700.0,700.0,200.0,247.0
32,文渊狮城,总价503-650(万/套),22000.0, 元/㎡(均价),别墅,淳安,建面 229-247㎡,503.0,650.0,229.0,247.0
