,house_name,total_price,total_price_desc,unit_price,info,location1,area,longitude,dimension,latitude,distance_rg
0,芳芯苑 ,461.0,万,66456.0,2室1厅 | 69.37平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,北蔡,69.37,121.558061,31.192762,31.192762,8.824582411438067
1,环龙公寓 ,821.0,万,70070.0,3室2厅 | 117.17平米 | 南 | 精装 | 高楼层(共8层) | 2002年建 | 板楼,北蔡,117.17,121.558416,31.189674,31.189674,9.016059948007582
2,虹南小区(浦东) ,360.0,万,55633.0,2室1厅 | 64.71平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,北蔡,64.71,121.554907,31.181773,31.181773,9.19878865930919
3,金旋小区 ,365.0,万,62997.0,2室1厅 | 57.94平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,北蔡,57.94,121.534536,31.184224,31.184224,7.5082053957452395
4,绿川小区 ,360.0,万,53620.0,2室1厅 | 67.14平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,北蔡,67.14,121.551352,31.171775,31.171775,9.621585039746481
5,南新六村 ,324.0,万,51307.0,2室1厅 | 63.15平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,北蔡,63.15,121.538094,31.171920,31.17192,8.706444760534193
6,大华锦绣华城(十一街区) ,988.0,万,91448.0,3室2厅 | 108.04平米 | 南 北 | 精装 | 中楼层(共20层) | 2007年建 | 板楼,北蔡,108.04,121.534935,31.181117,31.181117,7.769428250012438
7,大华锦绣华城(十八街区)(公寓) ,2050.0,万,88404.0,4室2厅 | 231.89平米 | 北 南 | 精装 | 高楼层(共18层) | 2008年建 | 板楼,北蔡,231.89,121.535432,31.176701,31.176701,8.147284857425387
8,大华锦绣华城(九街区) ,1120.0,万,86977.0,3室2厅 | 128.77平米 | 南 北 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,北蔡,128.77,121.542544,31.177634,31.177634,8.563595406391409
9,大华锦绣华城(十二街区) ,1068.0,万,89952.0,3室2厅 | 118.73平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,北蔡,118.73,121.542544,31.177634,31.177634,8.563595406391409
10,大华锦绣华城(十九街区)(公寓) ,1330.0,万,93125.0,3室2厅 | 142.82平米 | 南 | 简装 | 低楼层(共9层) | 2006年建 | 板楼,北蔡,142.82,121.537456,31.178713,31.178713,8.127140753138814
11,培花久远公寓 ,334.0,万,65956.0,1室1厅 | 50.64平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,北蔡,50.64,121.560042,31.195202,31.195202,8.873813863912876
12,锦三角花园(公寓) ,1350.0,万,78512.0,3室2厅 | 171.95平米 | 东 | 精装 | 中楼层(共8层) | 1999年建 | 板楼,北蔡,171.95,121.542461,31.186604,31.186604,7.926046709454612
13,绿川家园 ,750.0,万,70709.0,3室2厅 | 106.07平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,北蔡,106.07,121.552854,31.172373,31.172373,9.685408422166338
14,莲溪五村 ,575.0,万,60789.0,3室1厅 | 94.59平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,北蔡,94.59,121.558989,31.181567,31.181567,9.53179541787989
15,花木新村 ,658.0,万,60467.0,3室1厅 | 108.82平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,北蔡,108.82,121.557974,31.195169,31.195169,8.698179089162236
16,培花七村 ,515.0,万,61347.0,3室1厅 | 83.95平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,北蔡,83.95,121.556872,31.191024,31.191024,8.8153944898491
17,莲溪二村 ,630.0,万,55551.0,3室2厅 | 113.41平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,北蔡,113.41,121.559522,31.184925,31.184925,9.373135286027395
18,绿川新苑 ,616.0,万,56691.0,3室2厅 | 108.66平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,北蔡,108.66,121.54725,31.173444,31.173444,9.207596213831184
19,绿星小区 ,415.0,万,51592.0,2室2厅 | 80.44平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,北蔡,80.44,121.544074,31.167931,31.167931,9.419361702076532
20,绿川新苑 ,590.0,万,59572.0,3室2厅 | 99.04平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,北蔡,99.04,121.54725,31.173444,31.173444,9.207596213831184
21,环龙公寓 ,815.0,万,69635.0,3室2厅 | 117.04平米 | 南 | 简装 | 低楼层(共8层) | 2002年建 | 板楼,北蔡,117.04,121.558416,31.189674,31.189674,9.016059948007582
22,绿川新苑 ,740.0,万,52843.0,4室3厅 | 140.04平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,北蔡,140.04,121.54725,31.173444,31.173444,9.207596213831184
23,大华锦绣华城(十二街区) ,1170.0,万,86764.0,3室2厅 | 134.85平米 | 南 | 简装 | 低楼层(共9层) | 2003年建 | 板楼,北蔡,134.85,121.542544,31.177634,31.177634,8.563595406391409
24,大华锦绣华城(九街区) ,820.0,万,82404.0,2室2厅 | 99.51平米 | 南 | 简装 | 低楼层(共14层) | 2006年建 | 板楼,北蔡,99.51,121.542544,31.177634,31.177634,8.563595406391409
25,绿川新苑 ,278.0,万,56956.0,1室1厅 | 48.81平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,北蔡,48.81,121.54725,31.173444,31.173444,9.207596213831184
