,house_name,total_price,unit_price,unit_price_desc,type,location1,area,total_price_min,total_price_max,area_min,area_max
0,滨江一品苑,总价1600-2597(万/套),117000.0, 元/㎡(均价),住宅,浦东,建面 136-234㎡,1600.0,2597.0,136.0,234.0
1,红星临港天铂,总价297-330(万/套),33000.0, 元/㎡(均价),住宅,浦东,建面 90-130㎡,297.0,330.0,90.0,130.0
2,中建·玖里书香,总价273(万/套),28690.0, 元/㎡(均价),住宅,浦东,建面 60-99㎡,273.0,273.0,60.0,99.0
3,上城院子,总价750-800(万/套),54390.0, 元/㎡(均价),住宅,宝山,建面 101-135㎡,750.0,800.0,101.0,135.0
4,万科天空之城,总价707(万/套),58600.0, 元/㎡(均价),住宅,青浦,建面 75-160㎡,707.0,707.0,75.0,160.0
5,世纪金源梧桐印象,总价170-210(万/套),21883.0, 元/㎡(均价),住宅,金山,建面 78-100㎡,170.0,210.0,78.0,100.0
6,大华锦绣四季澜岸,总价493(万/套),49780.0, 元/㎡(均价),住宅,宝山,建面 99-135㎡,493.0,493.0,99.0,135.0
7,云湖壹号,总价160-220(万/套),21179.0, 元/㎡(均价),住宅,金山,建面 76-104㎡,160.0,220.0,76.0,104.0
8,御府景苑,总价65-90(万/套),8000.0, 元/㎡(均价),住宅,上海周边,建面 87-128㎡,65.0,90.0,87.0,128.0
9,奥园印象高迪,总价52(万/套),10650.0, 元/㎡(均价),商业,上海周边,,52.0,52.0,,
10,中海阅麓山,总价480-800(万/套),53000.0, 元/㎡(均价),别墅,松江,建面 90-143㎡,480.0,800.0,90.0,143.0
11,中海阅麓山,总价260-460(万/套),37000.0, 元/㎡(均价),住宅,松江,建面 70-125㎡,260.0,460.0,70.0,125.0
12,香逸铂悦,总价187-258(万/套),24500.0, 元/㎡(均价),住宅,上海周边,建面 84-109㎡,187.0,258.0,84.0,109.0
13,颐和湾花园,总价550(万/套),31000.0, 元/㎡(均价),住宅,上海周边,建面 143-192㎡,550.0,550.0,143.0,192.0
14,虹桥1号,总价520(万/套),45000.0, 元/㎡(均价),商业,闵行,,520.0,520.0,,
15,招商花园城,总价450(万/套),33000.0, 元/㎡(均价),底商,宝山,,450.0,450.0,,
16,嘉润万象城,总价50(万/套),25000.0, 元/㎡(均价),商业,上海周边,,50.0,50.0,,
17,合景悦湖四季,总价195(万/套),16980.0, 元/㎡(均价),住宅,上海周边,建面 90-128㎡,195.0,195.0,90.0,128.0
18,国乐广场,总价330(万/套),42000.0, 元/㎡(均价),商业类,松江,,330.0,330.0,,
19,东方之门,总价2228(万/套),50000.0, 元/㎡(均价),住宅,上海周边,建面 248-520㎡,2228.0,2228.0,248.0,520.0
20,云间新天地,总价410(万/套),55000.0, 元/㎡(均价),商业,松江,,410.0,410.0,,
21,合生伴海,总价79-145(万/套),9700.0, 元/㎡(均价),住宅,上海周边,建面 89-149㎡,79.0,145.0,89.0,149.0
22,新湖明珠城,总价2000(万/套),85000.0, 元/㎡(均价),商业,普陀,,2000.0,2000.0,,
23,当代和山悦MOMA,总价110(万/套),12500.0, 元/㎡(均价),住宅,上海周边,建面 68-108㎡,110.0,110.0,68.0,108.0
24,前滩新天地,总价545(万/套),100000.0, 元/㎡(均价),商业,浦东,,545.0,545.0,,
25,太仓港商贸中心,总价75(万/套),7800.0, 元/㎡(均价),商业,上海周边,,75.0,75.0,,
26,虹桥时代广场,总价1200(万/套),39000.0, 元/㎡(均价),写字楼,青浦,,1200.0,1200.0,,
27,葛洲坝玉兰花园,,,,住宅,青浦,,,,,
28,佳兆业城市广场,总价283-317(万/套),34500.0, 元/㎡(均价),住宅,嘉定,建面 82-140㎡,283.0,317.0,82.0,140.0
29,上海长滩,总价421-1433(万/套),55000.0, 元/㎡(均价),住宅,宝山,建面 76-260㎡,421.0,1433.0,76.0,260.0
30,长城逸府,,,,住宅,金山,建面 90-177㎡,,,90.0,177.0
